,Unnamed: 0,time,text,class,ours
0,2019-11-19T13:20:00.125+03:00,@darthvader  May the 4th be with you too,1.0,,1
1,2019-11-19T12:40:00.168+03:00,@BlondeNoa thanks girl,1.0,,1
2,2019-11-19T11:40:00.909+03:00,"\@BlokeyMan yes it is""",0.0,,1
3,2019-11-19T13:00:00.137+03:00,@bloodcicle use  freeballin'! in a haiku please,0.0,,1
4,2019-11-19T12:20:00.148+03:00,@DarrylCottrell amen brother!a.men. awww 1951..i'm gonna miss that place  too many good times! i want a panty party sleepover,1.0,,1
5,2019-11-19T12:00:00.157+03:00,@DarrenRoberts little people awake in the night  argggghhh lol,0.0,,0
6,2019-11-19T13:20:00.125+03:00,"\@DarthSalem thank you""",0.0,,1
7,2019-11-19T12:40:00.168+03:00,@Blondieningirl I know it doesn't haha.  *evil laugh*,0.0,,1
8,2019-11-19T12:00:00.157+03:00,"\@darrenporter Hehe you're right""",0.0,,1
9,2019-11-19T11:40:00.909+03:00,@BlondeByDesign maybe he'd go for a bottle of wine and a dinner outdoors? haha  let us know what happens ?,0.0,,0
10,2019-11-19T12:20:00.148+03:00,@darronm Also follow Darron he convinced me to Twitter &amp; has an independent music blog on his space!,1.0,,1
11,2019-11-19T13:00:00.137+03:00,"\@bloodrose_  Hey""",0.0,,1
12,2019-11-19T12:00:00.157+03:00,"\@BlondEMd Try Tweetie""",1.0,,1
13,2019-11-19T12:40:00.168+03:00,"\@BlondMobile Data is 100 MB""",0.0,,1
14,2019-11-19T13:20:00.125+03:00,@Darthbudge I hope it wasn't clothing or food.,1.0,,0
15,2019-11-19T11:40:00.909+03:00,@BlokesLib You? Old? You can't possibly be more than 22,0.0,,0
16,2019-11-19T12:20:00.148+03:00,"\@DarryleP I just have one""",1.0,,1
17,2019-11-19T13:00:00.137+03:00,@bloodcurdling I've must of missed the first one. I'm a bad JT fan,0.0,,0
18,2019-11-19T13:20:00.125+03:00,@DarthTraya I try to not compare @themarajade and @biddygirl. I'll leave those thoughts to @jedijon,1.0,,1
19,2019-11-19T12:40:00.168+03:00,@blondepinky3 james has english language tomorrow,0.0,,1
20,2019-11-19T13:20:00.125+03:00,@darthrazorback Sorry! Voting!,0.0,,1
21,2019-11-19T12:00:00.157+03:00,@DarrenRoberts I love Dawn Chorus noisier the better miss Church Bells too...crazy I know...Was going for a cycle with a friend..not now,1.0,,1
22,2019-11-19T12:00:00.157+03:00,@darrenporter hehe...nice try,1.0,,1
23,2019-11-19T13:00:00.137+03:00,@bloodrainbow we're all waiting for you and the kettles on,0.0,,0
24,2019-11-19T12:20:00.148+03:00,@darrlingk They must know your coming. Theyve failed me b4,1.0,,0
25,2019-11-19T12:40:00.168+03:00,@BlondieMcB  Good thing you didn't TwitPic!,0.0,,1
26,2019-11-19T12:40:00.168+03:00,@blondjamesblond I know! Yeah Jillys would be good.  Britney will be awesome too. The tickets have been dispatched! x,1.0,,1
27,2019-11-19T13:20:00.125+03:00,@darthchavie : u dnt need to. if u've signed in to wordpress it will automatically detect you. nothing 4 blogspot users.. except email.,0.0,,1
28,2019-11-19T12:00:00.157+03:00,@darrenmonroe Nice article on aff marketing...btw you gotta do something about your permalinks.,1.0,,1
29,2019-11-19T13:00:00.137+03:00,@bloodhoundgang deeeeee what happened?!,0.0,,1
30,2019-11-19T12:00:00.157+03:00,"\@DarrenRoberts good thanks lovely""",1.0,,1
31,2019-11-19T13:20:00.125+03:00,@darthstorm528 Omg I love Daria but its only on the spanish MTV now!,1.0,,0
